word	US/GenAM    UK/RP
internet	/ˈɪɾ̃ɚˌnɛt/	/ˈɪntəˌnɛt/
Internet	/ˈɪntɚˌnɛt/	/ˈɪntəˌnɛt/
intern	/ˈɪntɝn/	/ˈɪntɜːn/
intern	/ˈɪntɝn/	/ɪnˈtɜːn/
intern	/ɪnˈtɝn/	/ˈɪntɜːn/
intern	/ɪnˈtɝn/	/ɪnˈtɜːn/
interpose	/ˌɪn.tɚˈpoʊz/	/ˌɪn.təˈpəʊz/
interpret	/ɪnˈtɝ.pɹɪt/	/ɪnˈtɜː.pɹɪt/
interrobang	/ɪnˈtɛ.ɹəˌbæŋ/	/ɪnˈtɛ.ɹəʊˌbæŋ/
intersectionality	/ɪntɚˌsɛkʃəˈnæləti/	/ɪntəˌsɛkʃəˈnælɪti/
intersect	/ɪntɚˈsɛkt/	/ɪntəˈsɛkt/
intersex	/ˈɪntɚsɛks/	/ˈɪntəsɛks/
interspecific	/ˌɪntɚspəˈsɪfɪk/	/ˌɪntəspəˈsɪfɪk/
intervallic	/ˌɪntɚˈvælɪk/	/ɪntəˈvælɪk/
interval	/ˈɪntɚvəl/	/ˈɪntəvəl/
intervals	/ˈɪntɚvəlz/	/ˈɪntəvəlz/
intervention	/ɪntɚˈvɛnʃən/	/ɪntəˈvɛnʃən/
interviewer	/ˈɪntɚvjuɚ/	/ˈɪntəvjuːə/
in the closet	/ɪn ðə ˈklɑzɪt/	/ɪn ðə ˈklɒzɪt/
inthronization	/inˌθɹoʊnaɪˈzeɪʃən/	/inˌθɹəʊnaɪˈzeɪʃən/
intone	/ɪnˈtoʊn/	/ɪnˈtəʊn/
introduced	/ˌɪntɹəˈduːst/	/ˌɪntɹəˈdjuːst/
introduce	/ˌɪntɹəˈduːs/	/ˌɪntɹəˈdjuːs/
intuit	/ɪnˈtuɪt/	/ɪnˈtjuɪt/
inversion	/ɪnˈvɝʒən/	/ɪnˈvɜːʃən/
investomer	/ɪnˈvɛstəməʳ/	/ɪnˈvɛstəməʳ/
involved	/ɪnˈvɑlvd/	/ɪnˈvɒlvd/
iotation	/aɪoʊˈteɪʃən/	/aɪəʊˈteɪʃən/
irk	/ɝk/	/ɜːk/
iron	/ˈaɪɚn/	/ˈaɪə(ɹ)n/
irony	/ˈaɪ.ɹə.ni/	/ˈaɪə.ɹən.i/
irony	/ˈaɪ.ɹə.ni/	/ˈaɪə.ni/
irony	/ˈaɪ.ɚ.ni/	/ˈaɪə.ɹən.i/
irony	/ˈaɪ.ɚ.ni/	/ˈaɪə.ni/
irregardless	/ˌɪɹɪˈɡɑɹdlɪs/	/ˌɪɹɪˈɡɑːdlɪs/
irreparate	/ɪˈɹɛpəɹət/	/ɪˈɹɛpəɹət/
irresponsibly	/ˌɪ.ɹɪ.ˈspɑːn.sə.bli/	/ˌɪ.ɹɪ.ˈspɒn.sə.bli/
Isaiah	/aɪ.ˈzeɪ.ə/	/aɪ.ˈzaɪ.ə/
isinglass	/ˈaɪzɪŋɡlæs/	/ˈaɪzɪŋɡlɑːs/
islander	/ˈaɪləndɚ/	/ˈaɪləndə/
isogloss	/ˈaɪsəɡlɑs/	/ˈaɪsə(ʊ̆)ɡlɒs/
isomerase	/aɪˈsɑməˌɹeɪs/	/aɪˈsɒməˌɹeɪs/
isomer	/ˈaɪ.sə.mɚ/	/ˈaɪ.sə.mə/
isotope	/ˈaɪ.sə.toʊp/	/ˈaɪ.sə.təʊp/
issued	/ˈɪʃud/	/ˈɪsjuːd/
issue	/ˈɪʃ(j)uː/	/ˈɪsjuː/
Italianization	/ɪˌtæljənəˈzeɪʃən/	/ɪˌtæljənaɪˈzeɪʃən/
-ite	/-aɪt/	/-aɪt/
itself	/ɪtˈsɛlf/	/ɪtˈsɛlf/
Ivanhoe	/ˈaɪvənˌhoʊ/	/ˈaɪvənˌhəʊ/
ivory tower	/ˈaɪvəɹi ˈtaʊɚ/	/ˈaɪvəɹi ˈtaʊə/
iWar	/ˈaɪwɔɹ/	/ˈaɪwɔː/
izimbongi	/ˌɪzɪmˈbɔŋɡi/	/ˌɪzɪmˈbɒŋɡi/
jab molassie	/ˈd͡ʒæb məˈlæsi/	/ˈd͡ʒæb məˈlæsiː/
jacket	/ˈd͡ʒækɪt/	/ˈd͡ʒæk.ɪt/
jack-o'-lantern	/ˈdʒæk.oʊˌlæn.tɚn/	/ˈdʒæk.əʊˌlæn.tən/
jaguar	/ˈdʒæɡwɑɹ/	/ˈdʒæɡjuːə/
jalapeño	/ˌhɑləˈpeɪnjoʊ/	/ˌhæləˈpiːnəʊ/
janissary	/ˈdʒænəˌzeɹi/	/ˈdʒanɪzəɹi/
janitor	/ˈd͡ʒænɪtɚ/	/ˈd͡ʒænɪtə/
Janus	/ˈdʒeɪnəs/	/ˈdʒeɪnəs/
jargon	/ˈdʒɑɹ.ɡən/	/ˈdʒɑː.ɡən/
JBiebs	/ˈdʒeɪˈbibs/	/ˈdʒeɪˈbiːbs/
jeer	/dʒɪɹ/	/dʒɪə/
jello	/ˈdʒɛloʊ/	/ˈdʒɛləʊ/
Jell-O	/ˈdʒɛloʊ/	/ˈdʒɛləʊ/
Jennifer	/ˈdʒɛnɪfɚ/	/ˈdʒɛnɪfə/
jeremiad	/ˌdʒɛɹ.əˈmaɪ.əd/	/ˌdʒɛɹ.əˈmaɪ.əd/
jersey	/ˈdʒɝzi/	/ˈdʒɜːzi/
Jersey	/ˈdʒɚzi/	/ˈdʒəːzi/
jester	/ˈdʒɛs.tɚ/	/ˈdʒɛs.tə/
jettison	/ˈdʒɛɾɪsn̩/	/ˈdʒɛtɪsn̩/
jewel	/dʒul/	/ˈdʒuːəl/
jeweler	/ˈdʒu(ə)lɚ/	/ˈdʒuːələ/
jewels	/dʒulz/	/ˈdʒuːəlz/
jibe	/dʒaɪb/	/dʒaɪb/
jiffy	/ˈd͡ʒɪ.fi/	/ˈd͡ʒɪ.fi/
jigger	/ˈdʒɪɡɚ/	/ˈdʒɪɡə/
jiggered	/ˈdʒɪɡɚd/	/ˈdʒɪɡəd/
jiggery-pokery	/ˌdʒɪɡ.ɚ.iˈpoʊ.kɚ.i/	/ˌdʒɪɡ.ə.ɹiˈpəʊ.kə.ɹi/
jill	/dʒɪl/	/dʒɪl/
jingoistic	/ˌdʒɪŋ.ɡoʊˈɪst.ɪk/	/ˌdʒɪŋ.ɡəʊˈɪst.ɪk/
Joachim	/ˈdʒoʊ.ə.kɪm/	/ˈdʒəʊ.ə.kɪm/
job	/d͡ʒɒb/	/d͡ʒɒb/
jocular	/ˈdʒɑkjəlɚ/	/ˈdʒɒkjʊlə/
jodhpurs	/ˈdʒɑdpɚz/	/ˈdʒɒdpəz/
Joel	/ˈdʒoʊəl/	/ˈdʒəʊəl/
john	/ˈdʒɑn/	/ˈdʒɒn/
John	/dʒɑn/	/dʒɒn/
John Hancock	/dʒɑn ˈhænkɑk/	/dʒɒn ˈhænkɒk/
Johnny-come-lately	/ˌdʒɑːni.kʌmˈleɪtli/	/ˌdʒɒni.kʌmˈleɪtli/
Johnny	/ˈdʒɑni/	/ˈdʒɒni/
johnson	/ˈdʒɑnsən/	/ˈdʒɒnsən/
Johnson	/ˈdʒɑnsən/	/ˈdʒɒnsən/
joie de vivre	/ˌʒwɑ də ˈvivɹə/	/ˌʒwɑː də ˈviːvɹə/
joiner	/ˈdʒɔɪnɚ/	/ˈdʒɔɪnə/
jojoba	/hoʊˈhoʊbə/	/həˈhəʊbə/
joker	/ˈdʒoʊkɚ/	/ˈdʒəʊkə/
jokester	/ˈdʒoʊkstɚ/	/ˈdʒəʊkstə/
jolly	/ˈdʒɑli/	/ˈdʒɒli/
Jolly Roger	/ˌdʒɑli ˈɹɑdʒɚ/	/ˌdʒɒli ˈɹɒdʒə/
jolt	/dʒoʊlt/	/dʒɒlt/
Jonah	/ˈdʒoʊnə/	/ˈdʒəʊnə/
Jonathan	/ˈdʒɑnəθən/	/ˈdʒɒnəθən/
Jordan	/ˈdʒɔːɹdən/	/ˈdʒɔːdən/
jorum	/ˈdʒoʊɹəm/	/ˈdʒɔːɹəm/
joseph	/ˈdʒoʊsəf/	/ˈdʒəʊsəf/
Joseph	/ˈd͡ʒoʊsəf/	/ˈd͡ʒəʊzəf/
jot	/dʒɑt/	/dʒɒt/
journalism	/ˈdʒɝnl̩ˌɪzəm/	/ˈdʒɜːn(ə)lɪzəm/
journalist	/ˈdʒɝnəlɪst/	/ˈdʒɜːnəlɪst/
journey	/ˈd͡ʒɝni/	/ˈd͡ʒɜːni/
journeyman	/ˈdʒɝnimən/	/ˈdʒɜːnimən/
Joycean	/ˈdʒɔɪsi.ən/	/ˈdʒɔɪsɪ.ən/
joy	/dʒɔɪ/	/dʒɔɪ/
joyride	/ˈdʒɔɪˌɹaɪd/	/ˈdʒɔɪˌɹaɪd/
jubilantly	/ˈdʒuː.bɪ.lənt.li/	/ˈdʒuː.bɪ.lənt.li/
judiciary	/ˌdʒuːˈdɪʃɪəɹi/	/ˌdʒuːˈdɪʃəɹi/
juggernaut	/ˈdʒʌ.ɡɚ.nɑt/	/ˈdʒʌ.ɡə.nɔːt/
jukebox	/ˈdʒukbɑks/	/ˈdʒuːkbɒks/
jumbo	/ˈd͡ʒʌmboʊ/	/ˈd͡ʒʌmbəʊ/
junior	/ˈdʒunjəɹ/	/ˈdʒuːnɪə/
juniper	/ˈdʒunɪpɚ/	/ˈdʒunɪpə/
justificatory	/dʒəˈstɪ.fə.kəˌtɔ.ɹi/	/ˈdʒʌstɨfəˌkeɪt(ə)ɹi/
just in case	/ˌdʒʌst ɪn ˈkeɪs/	/ˌdʒʌst ɪn ˈkeɪs/
juvenile	/ˈdʒuːvənəl/	/ˈdʒuːvənaɪl/
Kafkaesque	/ˌkɑfkəˈɛsk/	/ˌkæfkəˈɛsk/
kakemono	/ˌkɑkeɪˈmoʊnoʊ/	/ˌkækeɪˈməʊnəʊ/
kakistocracies	/kækɪsˈtɑkɹəsiz/	/kakɪsˈtɒkɹəsɪz/
kakistocracy	/kækɪsˈtɑkɹəsi/	/kakɪsˈtɒkɹəsɪ/
kaleidoscopic	/kəˌlaɪdəˈskɑːpɪk/	/kəˌlaɪdəˈskɒpɪk/
Kamo River	/ˈkɑmʊ ˈɹɪvɚ/	/ˈkɑmʊ ˈɹɪvə/
Karen	/ˈkæɹən/	/kəˈɹɛn/
Karen	/kəˈɹɛn/	/kəˈɹɛn/
kashered	/ˈkæʃɚd/	/ˈkæʃəd/
kashering	/ˈkæʃəɹɪŋ/	/ˈkæʃəɹɪŋ/
kasher	/ˈkɑʃɚ/	/ˈkæʃə/
kashers	/ˈkæʃɚz/	/ˈkæʃəz/
kebab	/kɪˈbɑb/	/kɪˈbæb/
keelhauling	/ˈkiːlhɔlɪŋ/	/ˈkiːlhɔːlɪŋ/
keelhaul	/ˈkiːlhɔl/	/ˈkiːlhɔːl/
keel over	/ˈkil ˈoʊvɚ/	/ˈkiːl ˈəʊvə(ɹ)/
keen	/kin/	/kiːn/
keeper	/ˈkiːpɚ/	/ˈkiːpə/
keep shtum	/kiːp ʃtʊm/	/kiːp ʃtʊm/
kelp	/kɛlp/	/kɛlp/
kenning	/ˈkɛnɪŋ/	/ˈkɛnɪŋ/
keratosis	/ˌkɛɹəˈtoʊsɪs/	/ˌkɛɹəˈtəʊsɪs/
kerb	/kɝb/	/kɜːb/
kerchief	/ˈkɝ.tʃɪf/	/ˈkɜː.tʃɪf/
kerfuffle	/kɚˈfʌfəl/	/kəˈfʌfəl/
kernicterus	/kɝˈnɪktəɹəs/	/kɜːˈnɪktəɹəs/
kerning	/ˈkɝnɪŋ/	/ˈkɜːnɪŋ/
Kern	/kɝn/	/kɜːn/
kersey	/ˈkɝzi/	/ˈkɜːzi/
key	/ki/	/kiː/
Khabarovsk	/ˈkɑbəɹɑfsk/	/ˈkɑːbəɹɒfsk/
khachapuri	/hæd͡ʒəˈpuɹi/	/hɑːd͡ʒəˈpuːɹi/
kiang	/kiˈɑŋ/	/kiˈæŋ/
kick the bucket	/ˈkɪk ðə ˈbʌkɪt/	/ˈkɪk ðə ˈbʌkɪt/
Kierkegaardianism	/ˌkɪɹkəˈɡɑɹdi.ənɪzəm/	/ˌkɪəkəˈɡɑːdɪ.ənɪzəm/
Kierkegaardian	/ˌkɪɹkəˈɡɑɹdi.ən/	/ˌkɪəkəˈɡɑːdɪ.ən/
killdeer	/ˈkɪldɪɹ/	/ˈkɪldɪə/
killer poke	/ˈkɪlɚ poʊk/	/ˈkɪlə(ɹ) pəʊk/
kiln	/kɪl(n)/	/kɪl(n)/
kilo	/ˈkiloʊ/	/ˈkiːləʊ/
kilos	/ˈkiloʊz/	/ˈkiːləʊz/
kilter	/ˈkɪltɚ/	/ˈkɪltə/
king cake	/kɪŋ keɪk/	/kɪŋ keɪk/
King James Version	/ˌkɪŋ ˈdʒeɪmz ˌvɝː.ʒən/	/ˌkɪŋ ˈdʒeɪmz ˌvɜː.ʃən/
Kirby	/ˈkɝbi/	/ˈkɜːbi/
kirtled	/ˈkɚt(ə)ld/	/ˈkəːt(ə)ld/
kirtle	/ˈkɚt(ə)l/	/ˈkəːt(ə)l/
Kirton	/ˈkɝtn̩/	/ˈkɜːtn̩/
kismet	/ˈkɪz.mɛt/	/ˈkɪz.mɛt/
kiss someone's ring	/kɪs ˈsʌmwʌnz ɹɪŋ/	/kɪs ˈsʌmwʌnz ɹɪŋ/
kitten	ˈkɪ.ʔn̩	/ˈkɪtən/
klaxoning	/ˈklæks(ə)nɪŋ/	/ˈklæks(ə)nɪŋ/
klaxon	/ˈklæks(ə)n/	/ˈklæks(ə)n/
klepto	/ˈklɛptoʊ/	/ˈklɛptəʊ/
knew	/ˈn(j)uː/	/ˈnjuː/
knob	/nɑb/	/nɒb/
knocked	/nɑkt/	/nɒkt/
knock	/nɑk/	/nɒk/
knock one over with a feather	/nɑk wʌn ˈoʊvɚ wɪð ə ˈfɛðɚ/	/nɒk wʌn ˈəʊvə(ɹ) wɪð ə ˈfɛðə(ɹ)/
knock on wood	/ˌnɑk ɑn ˈwʊd/	/ˌnɒk ɒn ˈwʊd/
knoll	/noʊl/	/nəʊl/
knowing	/ˈnoʊɪŋ/	/ˈnəʊɪŋ/
knowledge	/ˈnɑlɪ̈dʒ/	/ˈnɒlɪ̈dʒ/
knows	/noʊz/	/nəʊz/
knuckle sandwich	/ˈnʌkəl ˈsænˌ(d)wɪtʃ/	/ˈnʌkəl ˈsæn(d)wɪdʒ/
koha	/ˈkoʊhə/	/ˈkəʊhə/
kohl	/koʊl/	/kəʊl/
kohlrabi	/koʊlˈɹɑb.i/	/kəʊlˈɹɑː.bi/
kohls	/koʊlz/	/kəʊlz/
kolo	/ˈkoʊloʊ/	/ˈkəʊləʊ/
kookaburra	/ˈkʊkəˌbɝɹə/	/ˈkʊkəˌbʌɹə/
kooky	/ˈkuki/	/ˈkuːki/
kore	/ˈkoɹeɪ/	/ˈkɔəɹeɪ/
korephile	/ˈkɔɹɪfaɪl/	/ˈkɔːɹɪfaɪl/
korephilia	/ˌkɔɹɪˈfɪli.ə/	/kɒɹɪˈfɪlɪə/
kosher	/ˈkoʊʃəɹ/	/ˈkəʊʃə/
Kriol	/ˈkɹiːoʊl/	/ˈkɹiːəʊl/
kudos	/ˈkuː.doʊz/	/ˈkjuːdɒs/
kumquat	/ˈkʌmkwɑt/	/ˈkʌmkwɒt/
kvetch	/kvɛt͡ʃ/	/kvɛt͡ʃ/
kwashiorkor	/kwɑʃiˈɔɹkɚ/	/kwɑːʃiˈɔːkə/
kyat	/kiˈ(j)ɑt/	/kiːˈɑːt/
kyriarchal	/ˈkaɪɹiˌɑɹkl̩/	/ˈkaɪɹɪˌɑːkl̩/
kyriarchy	/ˈkaɪɹiˌɑɹki/	/ˈkaɪɹɪˌɑːki/
laconic	/ləˈkɑnɪk/	/ləˈkɒnɪk/
lacrosse	/ləˈkɹɔs/	/ləˈkɹɒs/
ladder	/ˈlædɚ/	/ˈladə/
Lakota	/ləˈkoʊtə/	/ləˈkəʊtə/
lambar	/ˈlæmbɑɹ/	/ˈlæmbɑː/
lambaste	/læmˈbæst/	/læmˈbæst/
lambent	/ˈlæmbənt/	/ˈlæmbənt/
lamp	/læmp/	/læmp/
lamprophony	/læm.ˈpɹɑf.ə.ni/	/læm.ˈpɹɒf.ə.ni/
lance	/læns/	/lɑːns/
lancet	/læn.sɪt/	/lɑːn.sɪt/
ländler	/ˈlɛndlɚ/	/ˈlɛndlə/
landlocked	/ˈlændlɑkt/	/ˈlændlɒkt/
lapis lazuli	/ˌlæpɪs ˈlæz(j)əli/	/ˌlapɪs ˈlazjʊlaɪ/
larch	/ˈlɑɹtʃ/	/ˈlɑːtʃ/
lares and penates	/ˌlɛɹiz ənd pɪˈnɑtiz/	/ˌlɛəɹiːz ənd pɪˈnɑːtiːz/
large	/ˈlɑɹd͡ʒ/	/ˈlɑːd͡ʒ/
larger	/lɑɹdʒɚ/	/lɑːdʒə/
largest	/ˈlɑɹd͡ʒɪst/	/ˈlɑːd͡ʒɪst/
lark	/lɑɹk/	/lɑːk/
lar	/lɑɹ/	/lɑː/
larnax	/ˈlɑɹnæks/	/ˈlɑːnæks/
lasted	/ˈlæstɪd/	/ˈlɑːstɪd/
lastingness	/ˈlæstɪŋnɪs/	/ˈlɑːstɪŋnɪs/
last	/læst/	/lɑːst/
lasts	/læsts/	/lɑːsts/
latex	/ˈleɪˌtɛks/	/ˈleɪtɛks/
latter-day	/ˈlæt̬əɹ deɪ/	/ˈlætə(ɹ) deɪ/
laughed	/læft/	/lɑːft/
launderette	/lɔndəˈɹɛt/	/lɔːnˈdɹɛt/
launder	/ˈlɔndɚ/	/ˈlɔːndə/
laura	/ˈlɔɹə/	/ˈlɔːɹə/
Laura	/ˈlɔɹə/	/ˈlɔːɹə/
Lauren	/ˈlɔɹən/	/ˈlɒɹən/
laver	/ˈleɪvɚ/	/ˈleɪvə/
laver	/ˈleɪvɚ/	/ˈlɑːvə/
laver	/ˈlɑvɚ/	/ˈleɪvə/
laver	/ˈlɑvɚ/	/ˈlɑːvə/
lawnmower	/ˈlɔn.moʊ.ɚ/	/ˈlɔːn.məʊ.ə/
lawyer	/ˈlɔɪ.ɚ/	/ˈlɔːjə(ɹ)/
lawyer	/ˈlɔ.jɚ/	/ˈlɔːjə(ɹ)/
lawyers	/ˈlɔɪ.ɚz/	/ˈlɔːjəz/
leaders	/ˈlidɚz/	/ˈliː.dəz/
leapfrog	/ˈliːpfɹɑɡ/	/ˈliːpfɹɒɡ/
learner	/ˈlɜɹnəɹ/	/ˈlɜːnə/
learning	/ˈlɝnɪŋ/	/ˈlɜːnɪŋ/
learn	/lɝn/	/lɜːn/
leather	/ˈlɛðɚ/	/ˈlɛðə/
Lebanon	/ˈlɛbənɑn/	/ˈlɛbənən/
lectical	/ˈlɛktɪk(ə)l/	/ˈlɛktɪk(ə)l/
lecturer	/ˈlɛktʃəɹɚ/	/ˈlɛktʃəɹə/
ledger	/ˈlɛdʒɚ/	/ˈlɛdʒə/
Leeuwarden	/ˈleɪwɑɹdən/	/ˈleɪwɑːdən/
legal	/ˈliɡəl/	/ˈliː.ɡəl/
Leicester	/ˈlɛstɚ/	/ˈlɛstə/
leister	/ˈlistɚ/	/ˈliːstə/
leitmotif	/ˈlaɪt.moʊˌtif/	/ˈlaɪt.məʊˌtiːf/
lemonade	/ˈlɛmənˌeɪd/	/ˌlɛmənˈeɪd/
length	/lɛŋ(k)θ/	/lɛŋ(k)θ/
lenition	/ləˈnɪʃən/	/lɪˈnɪʃən/
Leonardeschi	/ˌli.ənɑɹˈdɛski/	/ˌlɪ.ənɑːˈdɛskɪ/
leotard	/ˈliː.ə.tɑːɹd/	/ˈliː.ə.tɑːd/
lepak	/ˈləˈpɑk/	/ˈləˈpɑk/
lesbian	/ˈlɛzbi.ən/	/ˈlɛzbi.ən/
lesbo	/ˈlɛzboʊ/	/ˈlɛzbəʊ/
l'esprit de l'escalier	/lɛˌspɹi də ˌlɛskəˈljeɪ/	/lɛˌspɹiː də lɛˈskaljeɪ/
Lessepsian	/leɪˈsɛp.sɪ.ən/	/leɪˈsɛp.sɪ.ən/
less-than-stellar	/ˈlɛs ðən ˈstɛlɚ/	/ˈlɛs ðən ˈstɛlə/
lethargic	/ləˈθɑɹdʒɪk/	/ləˈθɑː.dʒɪk/
lethargy	/ˈlɛθɚdʒi/	/ˈlɛθədʒi/
letter	/ˈlɛtɚ/	/ˈlɛtə(ɹ)/
letters	/ˈlɛtɚz/	/ˈlɛtəz/
Levant	/ləˈvænt/	/ˈlɛv.ənt/
lever	/ˈlɛ.vɚ/	/ˈliː.və/
lezzer	/ˈlɛzɚ/	/ˈlɛzə/
Liberia	/laɪˈbɪɹi.ə/	/laɪˈbɪəɹi.ə/
lifeboat	/ˈlaɪfˌboʊt/	/ˈlaɪfˌbəʊt/
lightsaber	/laɪt.ˈseɪ.bɚ/	/laɪt.ˈseɪ.bə(ɹ)/
light year	/laɪtjɪɹ/	/laɪtjɪə/
Lille	/lil/	/liːl/
lima	/ˈlaɪmə/	/ˈlaɪmə/
linalool	/lɪˈnæloʊəl/	/lɪˈnæləʊɒl/
Lincolnshire	/ˈlɪŋkənʃəɹ/	/ˈlɪŋkənˌʃɪə/
linocut	/ˈlaɪnoʊˌkət/	/ˈlʌɪnəʊkʌt/
lion's share	/ˈɫaɪɪnz ʃɛəɹ/	/ˈlaɪəns ʃɛə/
liqueur	/lɪˈkɝ/	/lɪˈkjʊə/
Lisa	/ˈlisə/	/ˈliːsə/
listicle	/ˈlɪstəkl̩/	/ˈlɪstɪk(ə)l/
list	/lɪst/	/lɪst/
liter	/ˈli.tɚ/	/ˈliː.tə/
litharge	/ˈlɪθɑɹdʒ/	/ˈlɪθɑːdʒ/
lit.	/lɪt/	/lɪt/
litre	/ˈli.tɚ/	/ˈliː.tə/
little	/ˈlɪtl̩/	/ˈlɪtəl/
liturgy	/ˈlɪtɚd͡ʒi/	/ˈlɪtəd͡ʒi/
live	/laɪv/	/laɪv/
live	/laɪv/	/lɪv/
live	/lɪv/	/laɪv/
live	/lɪv/	/lɪv/
live paycheck to paycheck	/lɪv ˈpeɪtʃɛk tə ˈpeɪtʃɛk/	/lɪv ˈpeɪtʃɛk tə ˈpeɪtʃɛk/
liverwort	/ˈlɪv.ɚ.wɝːt/	/ˈlɪv.ə.wɜːt/
livestock	/ˈlaɪvˌstɑk/	/ˈlʌɪvstɒk/
living fossil	/ˈlɪvɪŋ ˈfɑːsəl/	/ˈlɪvɪŋ ˈfɒsəl/
loaded	/ˈloʊdɪd/	/ˈləʊdɪd/
load	/loʊd/	/ləʊd/
loaf	/loʊf/	/ləʊf/
loathe	/ˈloʊð/	/ˈləʊð/
loath	/loʊθ/	/ləʊθ/
lobster	/ˈlɑb.stɚ/	/ˈlɒb.stə/
local	/ˈloʊkl̩/	/ˈləʊkl̩/
located	/ˈloʊkeɪtɪd/	/ləʊˈkeɪtɪd/
locate	/ˈloʊkeɪt/	/ləʊˈkeɪt/
location	/loʊˈkeɪʃən/	/ləʊˈkeɪʃən/
locative	/ˈlɑkətɪv/	/ˈlɒkətɪv/
loch	/lɑx/	/lɒx/
loci	/ˈloʊsaɪ/	/ˈləʊsaɪ/
locked	/lɑkt/	/lɒkt/
lock	/lɑk/	/lɒk/
locus	/ˈloʊkəs/	/ˈləʊkəs/
lode	/loʊd/	/ləʊd/
lodge	/lɑdʒ/	/lɒdʒ/
lodging	/ˈlɑdʒɪŋ/	/ˈlɒdʒɪŋ/
loft	/lɔft/	/lɒft/
lofty	/ˈlɔːfti/	/ˈlɒfti/
logarithmancy	/lɔɡəˈɹɪðmənsi/	/lɒɡəˈɹɪðmənsi/
loggerhead	/ˈlɔɡɚˌhɛd/	/ˈlɒɡəhɛd/
logical	ˈlɑdʒɪkəɫ	ˈlɒdʒɪkəɫ
logic	/ˈlɑdʒɪk/	/ˈlɒdʒɪk/
logion	/ˈloʊ.dʒi.ən/	/ˈləʊ.ɡɪ.ən/
logogram	/ˈlɔːɡəɡɹæm/	/ˈlɒɡəɡɹæm/
logo	/ˈloʊɡoʊ/	/ˈləʊɡəʊ/
logrolling	/ˈlɑɡˌɹoʊlɪŋ/	/ˈlɒɡˌɹəʊlɪŋ/
Lola	/ˈloʊlə/	/ˈləʊlə/
lollapalooza	/ˌlɑləpəˈluzə/	/ˌlɒləpəˈluːzə/
loll	/lɑl/	/lɒl/
lonely	/ˈloʊnli/	/ˈləʊnli/
longan	/ˈlɑŋɡən/	/ˈlɒŋɡən/
long drink of water	/lɔŋ ˈdɹɪŋk əv ˈwɔtɚ/	/lɒŋ ˈdɹɪŋk əv ˈwɔːtə/
longed	/ˈlɔŋd/	/ˈlɒŋd/
longest	/ˈlɑŋ.ɡəst/	/ˈlɒŋ.ɡəst/
longest	/ˈlɔŋ.ɡəst/	/ˈlɒŋ.ɡəst/
longhauling	/ˈlɔŋhɔlɪŋ/	/ˈlɒŋhɔːlɪŋ/
longhaul	/ˈlɔŋhɔl/	/ˈlɒŋhɔːl/
longhorn	/ˈlɔŋhɔɹn/	/ˈlɒŋhɔːn/
longitudinal	/ˌlɑndʒəˈtuːdənəl/	/ˌlɒŋɡɪˈtjuːdɪnl/
long	/ˈlɔŋ/	/ˈlɒŋ/
longyi	/ˈlɑndʒi/	/ˈlɒndʒi/
looking glass	/ˈlʊkɪŋ ˌɡlæs/	/ˈlʊkɪŋ ˌɡlɑːs/
looser	/ˈlusɚ/	/ˈluːsə/
lopes	/loʊps/	/ləʊps/
loquacious	/loʊˈkweɪʃəs/	/ləʊˈkweɪʃəs/
loquat	/ˈloʊkwɑt/	/ˈləʊkwɒt/
lord	/lɔɹd/	/lɔːd/
Lord	/lɔɹd/	/lɔːd/
lords	/lɔɹdz/	/lɔːdz/
lore	/lɔɹ/	/lɔː/
lorem ipsum	/ˌlɔː.ɹəm ˈɪp.səm/	/ˌlɔː.ɹəm ˈɪp.səm/
loricate	/ˈlɔɹɪkeɪt/	/ˈlɒɹɪkeɪt/
loris	/ˈlɔɹɪs/	/ˈlɔːɹɪs/
lorn	/lɔɹn/	/lɔːn/
lorry	/ˈlɔɹi/	/ˈlɒɹi/
Los Angeles	/lɔs ˈændʒələs/	/lɒs ˈændʒɪliːz/
Los Angeles	/lɔs ˈænələs/	/lɒs ˈændʒɪliːz/
Los Angeles	/lɔs ˈæŋɡələs/	/lɒs ˈændʒɪliːz/
loss leader	/ˈlɔs ˈlidɚ/	/ˈlɒs ˈliːdə(ɹ)/
loss	/lɔs/	/lɒs/
lotion	/ˈloʊʃən/	/ˈləʊʃən/
lot	/lɑt/	/lɒt/
lotus	/ˈloʊtəs/	/ˈləʊtəs/
louche	/luʃ/	/luːʃ/
louis d'or	/ˌlui ˈdɔɹ/	/ˌluːɪ ˈdɔː/
lovage	/ˈlʌvədʒ/	/ˈlʌvɪdʒ/
love interest	/ˈlʌv ˈɪntɹəst/	/ˈlʌv ˈɪntɹɪst/
lover	/ˈlʌvɚ/	/ˈlʌvə/
lovers	/ˈlʌvɚz/	/ˈlʌvəz/
lovingkindness	/ˌlə.vɪŋˈkaɪn(d).nɪs/	/lʌ.vɪŋˈkʌɪnd.nɪs/
lowbrow	/ˈloʊbɹaʊ/	/ˈləʊbɹaʊ/
lowed	/loʊd/	/ləʊd/
lowlife	/ˈloʊlaɪf/	/ˈləʊlaɪf/
low	/loʊ/	/ləʊ/
luck	/lʌk/	/lʌk/
lucre	/ˈluːkəɹ/	/ˈluːkə/
ludicrous	/ˈluː.dɪ.kɹəs/	/ˈluː.dɪ.kɹəs/
lug	/lʌɡ/	/lʌɡ/
lumbago	/lʌmˈbeɪɡoʊ/	/lʌmˈbeɪɡəʊ/
