word	US/GenAM    UK/RP
abstractive	/æbˈstɹæk.tɪv/	/əbˈstɹæk.tɪv/
abstract music	/æbˈstɹækt ˈmju.zɪk/	/æbˈstɹækt ˈmjuː.zɪk/
abstract noun	/ˈæbˌstɹækt naʊn/	/ˈæbˌstɹækt naʊn/
abstract of title	/æbˈstɹækt/	/æbˈstɹækt/
abstractum	/æbˈstɹæk.tm̩/	/əbˈstɹæk.tm̩/
abstract universal	/æbˈstɹækt ˌju.nəˈvɝ.sl̩/	/æbˈstɹækt ˌjuː.nɪˈvɝ.sl̩/
abstruse	/æbˈstɹus/	/əbˈstɹuːs/
abstrusely	/æbˈstɹus.li/	/əbˈstɹuːs.li/
abstruseness	/æbˈstɹus.nəs/	/əbˈstɹuːs.nəs/
abstrusity	/æbˈstɹu.sə.ti/	/əbˈstɹuː.sə.ti/
abstrusive	/æbˈstɹu.sɪv/	/əbˈstɹuː.sɪv/
absume	/æbˈsum/	/əbˈsum/
absurda	/æbˈsɜː.də/	/əbˈsɜː.də/
absurd	/æbˈsɝd/	/əbˈsɜːd/
absurdism	/æbˈsɝdˌɪz.m̩/	/əbˈsɜːdˌɪz.m̩/
absurdist	/æbˈsɝd.əst/	/əbˈsɝd.əst/
absurdity	/æbˈsɝd.ɪ.ti/	/əbˈsɜːd.ɪ.ti/
absurdly	/æbˈsɝd.li/	/əbˈsɜːd.li/
absurdness	/æbˈsɝd.nəs/	/əbˈsɜːd.nəs/
Abt system	/ɑpt ˈsɪs.tm̩/	/ɑːpt ˈsɪs.tm̩/
abubble	/əˈbʌb.l̩/	/əˈbʌb.l̩/
abugida	/ɑːbuˈɡiːdə/	/ɑːbuˈɡiːdə/
abuilding	/əˈbɪl.dɪŋ/	/əˈbɪl.dɪŋ/
abulia	/əˈbu.li.ə/	/əˈb(j)uː.lɪə/
Abuna	/ɑˈbu.nɑ/	/əˈbuː.nə/
Abuna	/əˈbu.nə/	/əˈbuː.nə/
abundance	/əˈbʌn.dn̩s/	/əˈbʌn.dn̩s/
abundant	/əˈbʌn.dn̩t/	/əˈbʌn.dn̩t/
abundantly	/əˈbʌn.dn̩t.li/	/əˈbʌn.dn̩t.li/
abundant number	/əˈbʌn.dn̩t ˈnʌm.bɚ/	/əˈbʌn.dn̩t ˈnʌm.bə/
abundant year	/əˈbʌn.dn̩t jɪɹ/	/əˈbʌn.dn̩t jɪɹ/
abura	/əˈbjʊ.ɹə/	/əˈbjʊː.ɹə/
aburst	/əˈbɝst/	/əˈbɝːst/
a-burton	/əˈbɝ.tn̩/	/əˈbɝː.tn̩/
aburton	/əˈbɝ.tn̩/	/əˈbɝː.tn̩/
abusable	/əˈbju.zə.bl̩/	/əˈbjuː.zə.bl̩/
abuse	/əˈbjus/	/əˈbjuːs/
abuse	/əˈbjus/	/əˈbjuːz/
abuse	/əˈbjuz/	/əˈbjuːs/
abuse	/əˈbjuz/	/əˈbjuːz/
abuse of process	/əˈbjus əv ˈpɹɑsɛs/	/əˈbjuːs əv ˈpɹəʊ.sɛs/
abuser	/əˈbju.zɚ/	/əˈbjuː.zɚ/
abusion	/əˈbju.ʒn̩/	/əˈbjuː.ʒn̩/
abusive	/əˈbju.sɪv/	/əˈbjuː.sɪv/
abusively	/əˈbju.sɪv.li/	/əˈbjuː.sɪv.li/
abusiveness	/əˈbju.sɪv.nəs/	/əˈbjuː.sɪv.nəs/
abustle	/əˈbʌs.l̩/	/əˈbʌs.l̩/
abut	/əˈbʌt/	/əˈbʌt/
abutilon	/əˈbjutˌl̩ɑn/	/əˈbjuː.tɪˌlɒn/
abutment	/əˈbʌt.mn̩t/	/əˈbʌt.mn̩t/
abutt	/əˈbʌt/	/əˈbʌt/
abuzz	/əˈbʌz/	/əˈbʌz/
abvolt	/æbˈvoʊlt/	/æbˈvəʊlt/
abwab	/əbˈwɑb/	/əbˈwɑːb/
abwatt	/æb.wɑt/	/æb.wɒt/
abydocomist	/æbɪdəˈkoʊmɪst/	/æbɪdəˈkəʊmɪst/
aby	/əˈbaɪ/	/əˈbaɪ/
abye	/əˈbaɪ/	/əˈbaɪ/
abysmal	/əˈbɪz.məl/	/əˈbɪz.məl/
abysmally	/əˈbɪz.ml̩.i/	/əˈbɪz.ml̩.i/
abysm	/əˈbɪz.m̩/	/əˈbɪz.m̩/
abyssal	/əˈbɪs.l̩/	/əˈbɪs.l̩/
abyssal rock	/əˈbɪs.l̩ ɹɑk/	/əˈbɪs.l̩ ɹɒk/
abyssal zone	/əˈbɪs.l̩ zoʊn/	/əˈbɪs.l̩ zəʊn/
abyss	/əˈbɪs/	/əˈbɪs/
Abyssinia	/ˌæb.ɪˈsɪn.i.ə/	/ˌæb.ɪˈsɪn.i.ə/
Abyssinian	/ˌæb.ɪˈsɪn.i.ən/	/ˌæb.ɪˈsɪn.ɪ.ən/
acacia	/əˈkeɪ.ʃə/	/əˈkeɪ.ʃə/
acacia gum	/əˈkeɪ.ʃə ɡʌm/	/əˈkeɪ.ʃə ɡʌm/
acacia veld	/əˈkeɪ.ʃə vɜld/	/əˈkeɪ.ʃə vɜld/
academe	/ˈæk.əˌdim/	/ˈæk.ə.diːm/
academese	/ə.kæ.dəˈmiz/	/ə.kæ.dəˈmiːz/
academia	/ˌæk.əˈdi.mi.ə/	/ˌæ.kəˈdiː.mɪ.ə/
academian	/ˌæk.əˈdi.mi.n̩/	/ˌæk.əˈdiː.mi.n̩/
academical	/ˌæk.əˈdɛm.ɪ.kl̩/	/ˌæk.əˈdɛm.ɪ.kl̩/
academic costume	/ˌæk.əˈdɛm.ɪk ˈkɑs.tjum/	/ˌæk.əˈdɛm.ɪk ˈkɒs.tjuːm/
academic freedom	/ˌæk.əˈdɛm.ɪk ˈfɹi.dm̩/	/ˌæk.əˈdɛm.ɪk ˈfɹiː.dm̩/
academicism	/ˌæk.əˈdɛm.əˌsɪz.m̩/	/ˌæk.əˈdɛm.əˌsɪz.m̩/
Academicism	/ˌæk.əˈdɛm.əˌsɪz.m̩/	/ˌæk.əˈdɛm.əˌsɪz.m̩/
academic year	/ˌæk.əˈdɛm.ɪk jɪɹ/	/ˌæk.əˈdɛm.ɪk jɪɹ/
Academy Award	/əˈkæd.ə.mi əˈwɔɹd/	/əˈkæd.ə.mi əˈwɔːd/
academy blue	/əˈkæd.ə.mi blu/	/əˈkæd.ə.mi bluː/
academy board	/əˈkæd.ə.mi boɹd/	/əˈkæd.ə.mi bɔə(ɹ)d/
academy	/əˈkæd.ə.mi/	/əˈkæd.ə.mi/
Acadian chickadee	/əˈkeɪ.di.n̩ ˈt͡ʃɪk.əˌdi/	/əˈkeɪ.di.n̩ ˈt͡ʃɪk.əˌdi/
Acadian	/əˈkeɪ.di.n̩/	/əˈkeɪ.di.n̩/
Acadian flycatcher	/əˈkeɪ.di.n̩ ˈflaɪ.kæt͡ʃ.ɚ/	/əˈkeɪ.di.n̩ ˈflaɪ.kæt͡ʃ.ɚ/
Acadian French	/əˈkeɪ.di.n̩ fɹɜnt͡ʃ/	/əˈkeɪ.di.n̩ fɹɜnt͡ʃ/
Acadian owl	/əˈkeɪ.di.n̩ aʊl/	/əˈkeɪ.di.n̩ aʊl/
-ac	/æk/	/æk/
acajou	/ˈæ.kəˌʒu/	/ˈæ.kə.ʒuː/
acalculia	/ˌeɪ.kælˈkjuː.li.ə/	/ˌeɪ.kælˈkjuː.lɪ.ə/
-acal	/ək.l̩/	/ək.l̩/
acanthamoeba	/əˌkæn.θəˈmi.bə/	/əˌkæn.θəˈmiː.bə/
acanthite	/əˈkæn.θaɪt/	/əˈkæn.θaɪt/
acanthus	/əˈkæn.θəs/	/əˈkæn.θəs/
accent	/ˈæk.sɛnt/	/ˈæk.sənt/
accent	/ˈæk.sɛnt/	/ækˈsɛnt/
accent	/ækˈsɛnt/	/ˈæk.sənt/
accent	/ækˈsɛnt/	/ækˈsɛnt/
accentuate	/əkˈsen.tʃu.eɪt/	/əkˈsen.tʃu.eɪt/
accept	/əkˈsɛpt/	/əkˈsɛpt/
acceptor	/ək.ˈsɛp.tɚ/	/əkˈsɛptə(ɹ)/
access	/ˈækˌsɛs/	/ˈæksɛs/
accessory	/əkˈsɛsəɹi/	/əkˈsɛsəɹi/
accessory	/əkˈsɛsəɹi/	/əkˈsɛsɹi/
accolade	/ˈæk.ə.ˌleɪd/	/ˈæk.ə.ˌleɪd/
accommodator	/ə.ˈkɒm.ə.ˌdeɪt.ɚ/	əˈkɒmədeɪtə
accomplished	/ə.ˈkɑm.plɪʃt/	/ə.ˈkɒm.plɪʃt/
according	/ə.ˈkɔɹd.ɪŋ/	/əˈkɔːdɪŋ/
accordion	/ə.ˈkɔɹ.di.ən/	/əˈkɔ(ɹ).di.ˌən/
accost	/ə.ˈkɔst/	/ə.ˈkɒst/
accoucheur	/ˌæ.ku.ˈʃɝ/	/ˌæ.ku.ˈʃɜː/
accurately	/ˈæk.jə.ɹɪt.li/	/ˈæk.jə.ɹɪt.li/
accuse	/əˈkjuz/	/əˈkjuːz/
ACE inhibitor	/ˈeɪs ɪnˌhɪb.ɪ.tɚ/	/ˈeɪs ɪnˌhɪb.ɪ.tə/
acerb	/əˈsɜɹb/	/əˈsɜːb/
acetabular	/ˌæsɪˈtæbjəlɚ/	/ˌæsɪˈtæbjʊlə/
acetose	/ˈæs.ɪ.toʊs/	/ˈæs.ɪ.təʊs/
achier	/ˈeɪ.ki.ɚ/	/ˈeɪ.ki.ə/
acidophil	/əˈsɪɾəfɪl/	/əˈsɪdəfɪl/
acidophilic	/ˌæsɪɾoʊˈfɪlɪk/	/ˌæsɪdəʊˈfɪlɪk/
acknowledge	/ækˈnɑː.lɪdʒ/	/əkˈnɒ.lɪdʒ/
acknowledgment	/əkˈnɑl.ɪd͡ʒ.mənt/	/əkˈnɒl.ɪd͡ʒ.mənt/
à contrecœur	/ˌɑ ˌkɑn.tɹəˈkɚ/	/ˌæ ˌkɒn.tɹəˈkɜː/
acorn	/ˈeɪ.kɔɹn/	/ˈeɪ.kɔːn/
acquaintance	/ʌˈkweɪn.təns/	/əˈkweɪntəns/
acquainted	/əˈkweɪntɪd/	/əˈkweɪntɪd/
acquired	/əˈkwaɪɹd/	/əˈkwaɪəd/
acquire	/əˈkwaɪɹ/	/əˈkwaɪə/
acquis	/ɑˈki/	/aˈkiː/
acquit	/əˈkwɪt/	/əˈkwɪt/
acre	/ˈeɪ.kɚ/	/ˈeɪ.kə/
acres	/ˈeɪ.kɚz/	/ˈeɪ.kəz/
acrimonious	/ˌæk.ɹɪ.ˈmoʊ̯.ni.əs/	/ˌæk.ɹɪ.ˈməʊ̯.nɪ.əs/
acrocephalic	/ˌækɹoʊsəˈfælɪk/	/ˌækɹəʊsəˈfælɪk/
acromegalic	/ˌækɹoʊmɪˈɡælɪk/	/ˌakɹə(ʊ)mɪˈɡalɪk/
across	/əˈkɹɔs/	/əˈkɹɒs/
acrostic	/əˈkɹɔstɪk/	/əˈkɹɒstɪk/
acter	/ˈæk.tɚ/	/ˈæk.tə/
actor	/ˈæk.tɚ/	/ˈæk.tə/
actual	/ˈæk(t)ʃ(əw)əl/	/ˈak(t)ʃj(ʊ)əl/
actually	/ˈæk.tʃu.ə.li/	/ˈæk.tʃʊ.ə.li/
acute abdomen	/əˈkjut ˈæb.də.mən/	/əˈkjuːt ˈæb.də.mən/
acute	/əˈkjut/	/əˈkjuːt/
adermatoglyphia	/eɪˌdɝ.mə.təˈɡlɪ.fi.ə/	/eɪˌdɜː.mə.təʊˈɡlɪ.fɪ.ə/
ad hoc	/ˌæd ˈhɑk/	/ˌæd ˈhɒk/
adhocracy	/ædˈhɑkɹəsi/	/adˈhɒkɹəsi/
adhocrat	/ædhəˈkɹæt/	/adhəˈkɹat/
adhocratic	/ædhəˈkɹædɪk/	/adhəˈkɹatɪk/
adhocratical	/ædhəˈkɹædɪkəl/	/adhəˈkɹatɪkəl/
adhocratically	/ædhəˈkɹædɪk(ə)li/	/adhəˈkɹatɪk(ə)li/
adjourn	/əˈdʒɝn/	/əˈdʒɜːn/
admired	/ədˈmaɪɹd/	/ədˈmaɪəd/
admire	/ədˈmaɪɹ/	/ədˈmaɪə/
admission	/ædˈmɪʃ.ən/	/ædˈmɪʃ.ən/
adobe	/əˈdoʊ.bɪ/	/əˈdəʊ.bɪ, əˈdəʊb/
adopted	/əˈdɑptɪd/	/əˈdɒptɪd/
adopt	/əˈdɑpt/	/əˈdɒpt/
adore	/əˈdɔɹ/	/əˈdɔː/
adoxograph	/eɪˈdɑksɑˌɡɹæf/	/eɪˈdɒksɒˌɡɹɑːf/
adoxographer	/eɪdɑkˈsɑɡɹəfɚ/	/eɪdɒkˈsɒɡɹəfə/
adoxographical	/eɪˌdɑksɑˈɡɹæfik(ə)l/	/eɪˌdɒksɒˈɡɹɑːfik(ə)l/
adoxographically	/eɪˌdɑksɑˈɡɹæfik(ə)li/	/eɪˌdɒksɒˈɡɹɑːfik(ə)li/
adoxographic	/eɪdɑkˈsɑɡɹəfik/	/eɪdɒkˈsɒɡɹəfik/
adoxography	/eɪdɑkˈsɑɡɹəfi/	/eɪdɒkˈsɒɡɹəfi/
ADR	/eɪ di ˈɑɹ/	/eɪ diː ˈɑː/
adret	/əˈdɹeɪ/	/ˈædɹeɪ/
adroit	/əˈdɹɔɪt/	/əˈdɹɔɪt/
adult	/əˈdʌlt/	/ˈæd.ʌlt/
adulterer	/əˈdʌltəɹɚ/	/əˈdʌltəɹə/
advance	/ədˈvæns/	/ədˈvɑːns/
advancing	/ədˈvænsɪŋ/	/ədˈvɑːnsɪŋ/
advantages	/əd.ˈvæn.tɪ.dʒɪz/	/əd.ˈvɑːn.tɪ.dʒɪz/
adventive	/ədˈvɛntɪv/	/ədˈvɛntɪv/
adventure	/ədˈvɛnt͡ʃɚ/	/ədˈvɛnt͡ʃə/
adventures	/ədˈvɛnt͡ʃɚz/	/ədˈvɛnt͡ʃəz/
adverbative	/ædˈvɝbətɪv/	/ədˈvɜːbətɪv/
adverbial	/ædˈvɝbi.əl/	/ədˈvɜːbi.əl/
adversity	/ædˈvɝ.sɪ.ti/	/ædˈvɜː.sɪ.ti/
advertorial	/ˌædvɚˈtɔɹi.əl/	/ˈæd.vɜːˌtɔːɹ.i.əl/
advice	/ædˈvaɪs/	/ədˈvaɪs/
Adyghe	/ˈɑː.dɪ.ɡeɪ/	/ˈɑː.dɪ.ɡeɪ/
adytum	/ˈadətəm/	/ˈadɪtəm/
aegis	/ˈiːdʒɪs/	/ˈiːdʒɪs/
-ae	/-iː/	/-iː/
a	/ə/	/ə/
a	/ə/	/ɔ/
aerian	/ˌeɪˈɪɹi.ən/	/eɪˈɪəɹɪən/
